,no_internet,population,unemp,health_ins,poverty,SNAP,broad_num,broad_avail,broad_cost,all25_bbn
"Barbour County, Alabama",38.9,24686,3.8,11.2,28.9,27.4,4,99.2,74.99,7.70435521
"Bullock County, Alabama",40.1,10101,3.6,10.8,31.4,25.9,1,40.1,57.99,3.828209607
"Calhoun County, Alabama",26.6,113605,3.5,9.4,18.6,17.9,2,86.5,74.99,7.027278428
"Chambers County, Alabama",33,33254,2.9,10.8,16.6,14.7,1,93,299.95,5.270350357
"Cherokee County, Alabama",31,26196,2.9,8.3,15,15.9,2,25.6,187.47,7.70959285
"Chilton County, Alabama",37.7,44428,2.7,14.2,18.6,18.2,2,99.5,74.99,6.940730616
"Choctaw County, Alabama",40.9,12589,4.7,11.4,22.2,24.7,2,49.4,115,2.778304159
"Clarke County, Alabama",46.2,23622,5.8,10.8,25.4,19.5,2,99,74.96,5.861636917
"Clay County, Alabama",31.5,13235,3,10.2,18.4,15.7,1,86.6,115,3.801475015
"Colbert County, Alabama",31.1,55241,3.7,8.1,16.3,11.9,3,92.6,74.99,7.386540938
"Crenshaw County, Alabama",40.1,13772,2.8,10,15.7,18.7,1,81.4,187.47,5.435135135
"Dale County, Alabama",26.3,49172,3.1,11.4,18.4,19.2,1,98,74.99,6.271618077
"Dallas County, Alabama",35.9,37196,5.5,12,31.1,31,1,97.7,299.95,3.930948113
"DeKalb County, Alabama",32.4,71513,2.8,14.5,22.1,19,1,2.3,187.47,7.043730882
"Elmore County, Alabama",20.1,81209,2.6,8.2,12.3,12.7,3,87.2,139.99,8.605526875
"Escambia County, Alabama",42,36633,3.5,15.5,24,16.9,1,90.1,187.47,3.531151431
"Franklin County, Alabama",40,31362,2.8,12.8,20.2,17.7,6,81.6,63.33,4.683973782
"Geneva County, Alabama",32.2,26271,2.9,13.7,24,18.7,7,91.2,70,4.715521881
"Greene County, Alabama",53.7,8111,5.6,11.4,38.7,41.8,5,69.2,67.5,3.200023205
"Hale County, Alabama",44.8,14651,3.9,8.8,26,27.1,4,29.9,70,6.154300678
"Henry County, Alabama",26.6,17205,3.6,11.4,13.5,17.3,9,69.4,70.59,6.53557001
"Houston County, Alabama",28.5,105882,3,10.4,18.3,14.7,2,88.2,67.97,7.123106878
"Jackson County, Alabama",32.4,51626,3.3,9.6,20.2,12.7,7,79.2,65,7.065108483
"Jefferson County, Alabama",23.3,658573,2.9,9.5,17,14.7,6,92,65,7.434973926
"Lamar County, Alabama",36.1,13805,3.1,9.4,21.2,17.6,4,82.3,66.24,4.439127444
"Lauderdale County, Alabama",30.9,92729,3.3,9.1,15.2,12.8,3,47.8,66.19,6.967160715
"Lawrence County, Alabama",39.8,32924,3.1,8.2,16.8,15.4,7,67,67.5,5.238347394
"Lee County, Alabama",19.3,164542,2.7,7.9,21.4,11.7,2,28.5,72.45,8.995788676
"Limestone County, Alabama",22.8,98915,2.6,9.6,13.7,11.4,5,64.4,68.65,9.247961957
"Lowndes County, Alabama",50,9726,5.7,9.2,27.9,32.3,3,43.4,61.66,3.469652406
"Macon County, Alabama",43.5,18068,4.3,8.1,25.8,24.2,4,14.5,57.5,4.409266037
"Madison County, Alabama",15.8,372909,2.5,8.9,13.2,10.6,8,90.2,69.99,10.44789591
"Marengo County, Alabama",45.8,18863,3.5,9.6,21.8,21,7,80.3,67.35,3.727056334
"Marion County, Alabama",34.8,29709,3.4,10.5,17.5,14.8,3,44.9,60,4.566543145
"Marshall County, Alabama",25.4,96774,2.5,13.1,21.7,15.6,7,81.2,67.5,8.189490318
"Mobile County, Alabama",27.1,413210,3.7,11.6,19.3,17,5,85.4,69.99,8.517368095
"Monroe County, Alabama",57,20733,4.9,13.4,30.9,15.9,6,72.3,67.46,2.902818822
"Montgomery County, Alabama",22.4,226486,3.1,10.5,20.7,19.1,3,77.5,63.33,9.518035499
"Morgan County, Alabama",26.5,119679,2.6,10.2,15.3,13.5,5,94.3,74.99,7.435138833
"Perry County, Alabama",52.9,8923,5.2,12.7,41.8,38.8,3,78.3,65,2.646904512
"Pickens County, Alabama",36.7,19930,3.5,8.5,23.5,16.1,6,90,69.79,5.487801563
"Pike County, Alabama",39.1,33114,3.3,9.6,26.6,16.5,9,92.8,60,5.809568126
"Randolph County, Alabama",29.1,22722,3,10.5,17.7,15,2,75.1,70,5.328987279
"Russell County, Alabama",33.4,57961,2.9,13.4,20.1,19.2,6,94.5,69.81,8.518752842
"St. Clair County, Alabama",23.9,89512,2.7,8.8,13.2,10.9,3,27.2,58.63,6.961963465
"Shelby County, Alabama",13.4,217702,2.2,6.8,8.4,5.4,5,65.1,62.31,7.942928846
"Sumter County, Alabama",41.7,12427,4.5,15.5,31.3,29.6,3,56.5,74.99,3.296299819
"Talladega County, Alabama",29.8,79978,3.4,9.3,19.9,17.4,2,0.2,60,7.76363729
"Tallapoosa County, Alabama",29.8,40367,3,8.1,20.3,20.1,5,56.2,69.99,5.531259405
"Tuscaloosa County, Alabama",21.8,209355,2.7,7.5,17.4,10,4,60.1,69.99,8.150368862
"Walker County, Alabama",31.4,63521,3.3,11,19.7,16.2,7,87.4,74.99,5.8159564
"Washington County, Alabama",40.6,16326,4.6,9.6,21,16.3,10,93.6,70.5,3.781041734
"Wilcox County, Alabama",49.2,10373,7.1,11.6,31.1,24.5,9,99,67.5,3.195683592
"Winston County, Alabama",36.7,23629,3.3,12.3,16.2,14.2,5,37.6,58.31,4.835800754
"Anchorage Municipality, Alaska",11,288000,5.1,12.2,9.2,8.7,9,97.2,63.33,5.476344352
"Denali Borough, Alaska",11.4,2097,8.5,19.2,16.9,5.6,2,67.6,65.49,2.729773463
"Fairbanks North Star Borough, Alaska",14.5,96849,5.4,10,8.1,6.9,3,13.3,60,2.275207333
"Haines Borough, Alaska",10.9,2530,8.9,15.5,9,7.7,5,84.7,59.98,3
"Hoonah-Angoon Census Area, Alaska",29.7,2148,11.4,25.1,9.7,14,9,95.3,71.87,2.26160568
"Juneau City and Borough, Alaska",10.9,31974,4.4,11.1,7.9,8.2,8,95.4,70,6
"Kenai Peninsula Borough, Alaska",21.5,58708,6.8,17.2,12,9.6,1,62.9,60,5.242980463
